﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2018-12-31 累计(%),归属于母公司普通股股东的加权ROE 2017-12-31 累计(%),归属于母公司普通股股东的加权ROE 2016-12-31 累计(%),归属于母公司普通股股东的加权ROE 2015-12-31 累计(%),归属于母公司普通股股东的加权ROE  TTM(%) (最新季度),PE-TTM(扣非) 2019-12-01 ,PB(不含商誉) 2019-12-01 ,资产负债率  累计(%) (最新季度)
sz,="300144",宋城演艺,酒店餐饮与休闲,16.38,15.6,15.07,15.15,15.2,31.42,4.02,12.33
sz,="002882",金龙羽,电气部件与设备,16.35,17.76,16.27,14.68,16.88,15.54,2.39,31.16
sh,="600900",长江电力,电力公用事业,16.31,16.91,16.88,13.58,15.6,18.13,2.75,50.55
sz,="300525",博思软件,计算机软件,16.29,12.13,12.08,17.54,16.49,88.14,5.66,24.15
sh,="603388",元成股份,建筑与工程,16.27,13.92,13.78,14.64,15.89,15.89,2.33,65.14
sh,="600511",国药股份,药品流通,16.23,16.06,16.7,18.91,16.11,13.53,1.88,52.63
sz,="300748",金力永磁,有色金属,16.2,18.4,13.8,34.34,12.12,131.36,14,48.42
sz,="002327",富安娜,纺织品,16.19,17.05,15.73,16.33,17.19,12.97,1.76,22.95
sh,="603912",佳力图,通用机械,16.18,23.36,24.2,23.59,14.14,29.45,3.75,39.41
sh,="601019",山东出版,传媒,16.17,23.51,22.14,23.14,14.78,11.5,1.38,33.69
sz,="300296",利亚德,光电子器件,16.11,24.06,22.06,21.23,12.65,14.82,2.82,45.06
sz,="300470",日机密封,通用机械,16.1,12.79,11.51,14.32,17.34,23.21,4.06,25.33
sz,="300715",凯伦股份,建筑材料,16.07,22.24,30.32,31.12,21,32.88,5.96,62.98
sh,="603808",歌力思,服装与配饰,16.06,15.82,12.29,13.07,15.19,12.75,2.35,26.56
sh,="601838",成都银行,银行,16.04,16.83,12.24,14.69,16.36,5.86,0.91,93.73
sz,="002563",森马服饰,服装与配饰,16.03,11.51,14.92,15.43,15.33,18.38,2.19,29.93
sz,="300735",光弘科技,电子设备及服务,15.99,24.86,31.52,23.39,21.65,34.13,6.15,34.07
sh,="601668",中国建筑,建筑与工程,15.97,15.82,15.87,16,15.7,5.54,0.89,76.02
sz,="300365",恒华科技,计算机软件,15.9,22.06,18.69,13.75,15.84,28.71,4.16,27.06
sh,="600305",恒顺醋业,食品,15.88,16.66,11.19,17.49,16.8,44.37,4.92,18.99
sz,="300415",伊之密,专用设备,15.87,28.95,13.66,10.06,16.05,20.06,2.72,54.41
sh,="603506",南都物业,住宅地产开发和管理,15.86,29.58,38.93,20.53,17.08,35.1,5.4,53.07
sh,="600009",上海机场,交通基本设施,15.85,15.53,13.17,13.05,17.32,28.71,4.67,13.81
sh,="603037",凯众股份,汽车零配件与设备,15.84,16.05,22.28,18.15,11.4,20.35,2.05,10.5
sz,="000650",仁和药业,中药,15.83,13.2,14.56,17.7,15.74,13.83,2.15,15.77
sh,="603681",永冠新材,化学制品,15.81,11.25,19.81,17.54,12.12,29.53,3.23,25.95
sh,="603466",风语筑,商业用品与服务,15.78,22.2,21.76,19.42,16.39,16.75,2.46,54.1
sz,="300546",雄帝科技,电子设备及服务,15.74,12.77,16.39,21.19,16.77,29.49,4.44,21.49
sz,="300341",麦克奥迪,电气部件与设备,15.73,12.27,12.26,11.24,17.23,52.07,8.69,35.62
sz,="300284",苏交科,商业用品与服务,15.71,13.93,13.36,13.29,15.82,12.96,1.95,59.47
sz,="300620",光库科技,通信设备,15.71,15.3,28.79,25.05,10.36,73.13,6.54,24.99
sz,="300759",康龙化成,生物科技,15.68,12.28,18.32,26.77,16.38,87.56,13.34,44.91
sh,="600104",上汽集团,汽车,15.67,16.87,17.53,17.91,12.37,10.49,1.12,63.39
sz,="002967",广电计量,,15.67,14.74,20.4,18.77,16.04,81.25,6.29,62.03
sh,="600657",信达地产,住宅地产开发和管理,15.65,10.72,10.09,10.6,11.17,6.62,0.53,79.2
sz,="002050",三花智控,通用机械,15.65,19.12,17.24,15.2,15.37,30.83,4.57,36.45
sh,="600068",葛洲坝,建筑与工程,15.65,17.28,14.78,13.82,15.97,6.35,1.03,74.28
sh,="600598",北大荒,农牧渔产品,15.58,13.27,12.91,11.76,14.79,15.35,2.44,23.08
sz,="300244",迪安诊断,医疗保健提供商与服务,15.55,15.97,13.63,21.31,12.8,35.66,6.36,52.69
sz,="300701",森霸传感,光电子器件,15.55,25.3,30.46,26.08,15.34,48.28,5.85,5.23
sh,="603739",蔚蓝生物,农牧渔产品,15.55,16.41,16.72,15.74,11.36,63.5,4.04,19.81
sz,="300545",联得装备,电子元器件,15.54,11.63,13.23,25.94,11.71,53.46,5.55,48.16
sz,="002424",贵州百灵,中药,15.53,16.79,17.6,16.74,12.37,24.73,2.9,39.52
sh,="603811",诚意药业,化学制剂,15.53,13.62,26.42,23.82,18.24,26.87,4.32,21.37
sz,="300796",贝斯美,,15.5,17.32,17.85,24.47,15.06,41.21,3.16,21.06
sz,="000581",威孚高科,汽车零配件与设备,15.48,18.52,13.53,13.32,12.68,10.89,1.15,26
sz,="200581",苏威孚Ｂ,,15.48,18.52,13.53,13.32,12.68,6.71,0.71,26
sh,="603103",横店影视,传媒,15.47,26.18,43.78,70.9,11.41,56.85,4.14,31.26
sh,="600271",航天信息,电子设备及服务,15.44,16.16,17.97,22.04,17.43,28.41,3.85,39.7
sz,="002116",中国海诚,建筑与工程,15.43,16.2,11.91,23.13,15.45,17.32,2.06,68.31
sz,="002543",万和电气,耐用家居用品,15.43,13.21,14.2,11.65,16.62,13.33,1.93,45.2
sz,="300602",飞荣达,电子元器件,15.43,12.13,23.2,25.38,24.05,57.24,10.73,47.72
sh,="603801",志邦家居,耐用家居用品,15.42,20.01,30.49,28.25,16.27,15.23,2.25,34.12
sz,="300599",雄塑科技,化学制品,15.39,11.56,15.7,17.34,15.57,13.12,1.93,15.96
sz,="300590",移为通信,通信设备,15.38,13.79,57.19,69.68,15.99,46.15,5.88,14.68
sz,="000498",山东路桥,建筑与工程,15.37,15.4,13.21,13.27,14.24,8.31,0.97,73.17
sh,="600326",西藏天路,建筑与工程,15.34,13.07,11.09,10.81,15.08,12.84,1.72,45.94
sh,="600535",天士力,中药,15.33,15.24,15.24,22.82,11,19.81,2.11,51.39
sh,="603609",禾丰牧业,农牧渔产品,15.3,14.72,15.1,12.51,19.44,12.81,2.09,34
sz,="300677",英科医疗,医疗保健设备与用品,15.3,18.88,18.8,24.69,13.5,17.67,2.19,47.47
sh,="603711",香飘飘,饮料,15.26,19.58,23.53,22.77,16.88,31.39,4.39,36.63
sh,="600750",江中药业,中药,15.25,15.11,15.29,16.56,14.9,13.73,1.83,14.06
sz,="300726",宏达电子,电子元器件,15.25,21.73,28.11,18.5,17.11,41.06,5.78,7.78
sz,="300584",海辰药业,化学制剂,15.24,13.72,17.77,18.53,16.43,33.63,5.09,23.6
sz,="002918",蒙娜丽莎,非金属材料与制品,15.2,32,34.51,27.64,15.12,19.94,2.59,45.01
sz,="002275",桂林三金,中药,15.19,18.43,16.33,16.36,13.42,21.04,2.71,15.84
sh,="603989",艾华集团,电子元器件,15.17,16.32,15.22,16.52,13.9,31.17,3.69,34.17
sh,="600674",川投能源,电力公用事业,15.16,15.34,18.16,22.66,12.82,13.81,1.61,21.67
sz,="000062",深圳华强,电子设备及服务,15.13,10.17,11.24,14.34,13.34,21.86,4.35,48.67
sh,="600113",浙江东日,消费品经销商,15.1,15.51,19.03,12.66,12.23,22.94,1.91,17.93
sh,="603881",数据港,信息技术服务,15.1,14.18,20.78,23.95,13.69,59.88,7.22,67.02
sz,="300418",昆仑万维,计算机软件,15.08,16.39,18.31,16.67,22.85,14.46,5.71,56.18
sz,="300396",迪瑞医疗,医疗保健设备与用品,15.07,14.44,12.01,11.36,16.14,20.49,4.15,17.86
sz,="000065",北方国际,建筑与工程,15.07,14.6,16.79,14.41,14.88,10.06,1.33,59.83
sz,="300452",山河药辅,化学原料药,15.01,11.96,12.74,15.73,16.56,30.12,4.52,19.85
sz,="300579",数字认证,互联网软件与服务,14.99,16.29,25.65,25.17,14.81,94.98,11.56,45.73
sh,="603663",三祥新材,非金属材料与制品,14.99,12.17,12.3,14.64,14.67,33.23,5,47.02
sh,="603096",新经典,传媒,14.99,19.33,25.17,26.12,14.22,37.33,4.1,7.57
sh,="603277",银都股份,通用机械,14.99,27.15,46.45,40.64,15.27,16.82,2.02,25.24
sz,="002293",罗莱生活,纺织品,14.98,14.79,12.05,16.63,13.51,16.14,1.98,23.64
sh,="603121",华培动力,汽车零配件与设备,14.96,22.73,27.01,27.55,10.68,74.75,5.18,20.51
sh,="603298",杭叉集团,专用设备,14.95,14.25,19.95,19.9,15.07,16.36,1.89,27.55
sz,="300009",安科生物,生物科技,14.95,19.02,15.51,17.14,12.74,53.05,7.13,12.21
sz,="002203",海亮股份,有色金属,14.87,13.57,13.61,12.52,12.39,22.79,2.41,63.07
sz,="300428",四通新材,有色金属,14.87,15.77,11.38,11.71,16.66,20.88,1.92,44.96
